Escenario,SVM (Accuracy),RF (Accuracy)
1. Original,0.5765494137353434,0.4053601340033501
2. SIFT Reducido,0.5795644891122278,0.4127303182579565
3. BoF Reducida,0.4830820770519263,0.4814070351758794
4. Doble Reducción,0.4921273031825796,0.48408710217755446
